img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[55.94205093383789, 34.89196014404297, 270.3748474121094, 191.55160522460938];handle to grasp with four fingers on the screwdriver;[213, 116, 254.85, 186];0.08720575665513555
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[84.25476837158203, 89.33139038085938, 521.7062377929688, 710.9356079101562];trigger to press with index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.003288239516263416
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[83.6580581665039, 22.27961540222168, 516.4519653320312, 535.031494140625];trigger to press with index finger on the circular saw;[410, 318.82, 425.45, 347];0.0019619190043165353
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[5.955786228179932, 30.849363327026367, 242.3915557861328, 158.77139282226562];handle to grasp with four fingers on the solder iron;[123, 65, 221, 83];0.05832302750177334
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[2.976113796234131, 101.00418090820312, 672.0630493164062, 288.9836730957031];trigger to press with index finger on the weed wacker;[311, 136.86, 333.86, 149];0.002206489630214828
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[29.2309627532959, 6.292963027954102, 683.471923828125, 687.1454467773438];handle to grasp with four fingers on the wrench;[329, 158.75, 592.12, 410];0.14841205328768736
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[239.9610137939453, 4.063453674316406, 1090.5699462890625, 736.2042846679688];trigger to press with index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0032000807716503366
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[121.45035552978516, 0.9569711089134216, 497.8084411621094, 293.68408203125];handle to grasp with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.03640427130970995
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[101.79301452636719, 59.43594741821289, 1082.146484375, 1163.9461669921875];trigger to press with index finger on the circular saw;[511, 506, 549, 600];0.003298823056585193
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[134.05625915527344, 155.70578002929688, 1093.499267578125, 983.84716796875];handle to grasp with four fingers on the screwdriver;[864, 251, 1064, 426];0.04404984372679491
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[267.4790954589844, 107.05606079101562, 444.65435791015625, 312.98626708984375];handle to grasp with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.25900850874308246
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[225.3839874267578, 18.811155319213867, 603.8194580078125, 337.74615478515625];trigger to press with index finger on the glue gun;[331, 142.06, 343.19, 178];0.0036298423374768246
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.559661865234375, 35.94634246826172, 175.77540588378906, 143.5061798095703];trigger to press with index finger on the drill;[114, 82.51, 125.62, 89];0.00526314255634798
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[514.503662109375, 112.37041473388672, 697.4586181640625, 1137.2838134765625];handle to grasp with four fingers on the screwdriver;[532, 108, 686, 505];0.32130417028675107
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[24.89112663269043, 29.73573875427246, 1165.1693115234375, 578.7278442382812];trigger to press with index finger on the drill;[524, 379.37, 635.88, 435];0.00994224824172543
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[37.9146728515625, 18.557052612304688, 507.947021484375, 464.6763916015625];trigger to press with index finger on the nail gun;[317, 209.62, 335.85, 235];0.0022815194433134967
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[40.71031188964844, 26.344575881958008, 171.78561401367188, 119.77185821533203];trigger to press with index finger on the glue gun;[79, 98.27, 92.97, 109];0.012240567260414276
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[30.17819595336914, 53.8396110534668, 694.4990844726562, 669.1603393554688];trigger to press with index finger on the drill;[283, 395, 316.89, 440];0.0037308228572473416
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[39.05964660644531, 7.141423225402832, 436.8384704589844, 318.14581298828125];trigger to press with index finger on the nail gun;[227, 183.37, 252, 206];0.004573159874394937
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[269.70751953125, 39.2908935546875, 1102.14892578125, 624.6209716796875];trigger to press with index finger on the nail gun;[530, 314.75, 561.88, 361];0.0030260460584310184
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[450.47747802734375, 65.36058044433594, 1131.5384521484375, 982.0549926757812];trigger to press with index finger on the nail gun;[589, 424, 610, 509];0.002859088779437201
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[0.0, 140.24212646484375, 410.2613830566406, 316.4981994628906];handle to grasp with four fingers on the solder iron;[192, 89.18, 330.13, 167];0.04657089376830471
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[9.344749450683594, 102.8253402709961, 392.8063049316406, 265.7147521972656];handle to grasp with four fingers on the wrench;[176, 111.59000000000003, 360.7, 206];0.27917093947648236
