img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[50.09294891357422, 33.30836486816406, 265.5613098144531, 194.95997619628906];grasping area placement on the screwdriver;[213, 116, 254.85, 186];0.08410657664676624
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[290.9281921386719, 85.34175109863281, 523.871337890625, 228.2268829345703];index finger placement on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[0, 0, 0, 0];grasping area placement on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[77.98466491699219, 93.42436218261719, 589.2040405273438, 299.65625];index finger placement on the weed wacker;[311, 136.86, 333.86, 149];0.0026322782177488563
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[324.8665771484375, 158.5953826904297, 456.4076843261719, 286.5148620605469];grasping area placement on the wrench;[329, 158.75, 592.12, 410];0.2442075254977305
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[108.1233139038086, 33.32268142700195, 499.8617248535156, 295.2665100097656];grasping area placement on the solder iron;[364, 212.24, 419.89, 284];0.039085188556689104
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[814.82666015625, 727.3524780273438, 1088.328369140625, 974.2754516601562];grasping area placement on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[268.36285400390625, 107.01355743408203, 444.86572265625, 314.9945068359375];grasping area placement on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.26524997866771755
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[182.13900756835938, 65.25421142578125, 265.3647766113281, 160.0928955078125];index finger placement on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[128.1597900390625, 43.37318801879883, 174.74942016601562, 132.87074279785156];index finger placement on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[556.2665405273438, 729.1028442382812, 676.5107421875, 1129.1942138671875];grasping area placement on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[47.4549560546875, 31.909208297729492, 936.9130859375, 552.0311279296875];index finger placement on the drill;[524, 379.37, 635.88, 435];0.013453362731366901
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[0, 0, 0, 0];index finger placement on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[52.461669921875, 29.00779914855957, 99.97144317626953, 83.32537841796875];index finger placement on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[264.5274658203125, 699.2850341796875, 317.96710205078125, 709.8038940429688];index finger placement on the drill;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[0, 0, 0, 0];index finger placement on the nail gun;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[0, 0, 0, 0];index finger placement on the nail gun;[530, 314.75, 561.88, 361];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[318.4026794433594, 76.89021301269531, 1093.114501953125, 966.0634765625];index finger placement on the nail gun;[589, 424, 610, 509];0.002591263880048613
